Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0.62664883,0.50588587,0.307608562,0.305531297,0.114251792,0.30069688,0.275711727,0.26886253,0.375072087,0.332365089,0.274432149,0.415680134,0.27759045,0.311750251,0.254550768,0.302144352,0.2917054,0.28282865,0.204245874,0.25980187,0.17861285,0.24694832,0.161734894,0.21129097,0.49041085,0.277047172,0.210447385,0.303745626,0.28685703,0.329434275,0.280041611,0.274937101,0.163759777,0.4797761,0.292904431,0.277422775,0.239087197,0.2390404,0.254460474,0.317518633,0.200024192,0.189833982,0.266462973,0.48187662,0.2889502,0.48884699,0.46933532,0.222782479
2,0.61671933,0.46889837,0.263195043,0.273504589,0.09135007,0.262190817,0.240844238,0.234664392,0.3121697,0.285324152,0.251114461,0.374787947,0.233489097,0.273366637,0.239313747,0.276172236,0.2984079,0.263465817,0.197184427,0.262284037,0.18035035,0.25017532,0.1638524,0.214766303,0.475020017,0.26003199,0.204004588,0.276379205,0.255313644,0.306823621,0.263538607,0.257020579,0.1410011,0.4683571,0.271254077,0.253019302,0.231628032,0.231721399,0.228548073,0.294765033,0.207355778,0.193392247,0.257652513,0.480386953,0.282992533,0.48934349,0.465115153,0.219414181
3,0.60629333,0.390454703,0.16094169,0.185872381,0.053305848,0.18942792,0.158066582,0.152804254,0.164865979,0.185904883,0.185099772,0.265133594,0.135271911,0.186080023,0.205458893,0.191864121,0.3043659,0.20140615,0.168029813,0.250865037,0.175882017,0.247692653,0.165225072,0.217248637,0.425868683,0.202553974,0.163304957,0.20358495,0.198449924,0.249707634,0.219729104,0.219493223,0.099127757,0.433603767,0.221304223,0.19833083,0.212749867,0.21074923,0.177066837,0.242470766,0.21170853,0.208369511,0.232706386,0.462017287,0.250224867,0.473952823,0.44624882,0.198669383
4,0.57402233,0.267824703,0.032375337,0.056039507,-0.003604374,0.073968024,0.035073926,0.038673115,0.027988258,0.059675613,0.082842083,0.10334924,0.025635392,0.054607075,0.110537372,0.059397672,0.265144233,0.126437817,0.068375199,0.18582637,0.14410735,0.195065987,0.105530744,0.171076303,0.317636683,0.092945625,0.075936327,0.066248695,0.092931205,0.143440314,0.142159266,0.142744201,0.02647308,0.355656767,0.125678703,0.099455691,0.179474035,0.148073062,0.103244269,0.138046499,0.165420615,0.192068442,0.160098592,0.39300662,0.175256867,0.407424823,0.38170682,0.136716919
5,0.55515633,0.17200437,-0.054487016,-0.049962368,-0.039165929,-0.017164539,-0.059619397,-0.045669357,-0.057255796,-0.025842657,-0.007996272,-0.023681781,-0.038821461,-0.044594872,0.018594517,-0.04328011,0.2085459,0.08920215,-0.025321749,0.12525637,0.112333017,0.137474653,0.016047749,0.12391097,0.203446683,-0.024606057,-0.006467637,-0.045767226,0.000817485,0.018306994,0.046716096,0.059044512,-0.017386264,0.254375433,0.013172516,-0.008852448,0.159106537,0.067027227,0.012541367,0.016741899,0.082890034,0.15988004,0.056212464,0.295697287,0.111707533,0.308129157,0.291844487,0.041004121
6,0.523381997,0.10845537,-0.095176702,-0.115252909,-0.061819485,-0.084466102,-0.114594386,-0.080860495,-0.08441185,-0.071642594,-0.068053294,-0.103051134,-0.066042647,-0.105568153,-0.05795767,-0.097799559,0.141521233,0.094166817,-0.091216029,0.08057337,0.09495635,0.089812987,-0.065987912,0.086178637,0.11904535,-0.103929073,-0.057593601,-0.111114147,-0.072430235,-0.082995326,-0.059152741,-0.04550751,-0.04833694,0.1605411,-0.081460338,-0.087868587,0.135760038,-0.027423275,-0.076175535,-0.079738701,-0.010563214,0.085491304,-0.055120663,0.19441562,0.080925867,0.195925157,0.199003153,-0.063149344
7,0.494089663,0.10001537,-0.087708055,-0.122455784,-0.058159374,-0.098147998,-0.110984708,-0.0793123,-0.089226237,-0.08119953,-0.081441316,-0.111424155,-0.061985499,-0.104481767,-0.082876191,-0.093238007,0.1047819,0.11948715,-0.087106643,0.08255937,0.087012683,0.082365653,-0.102347574,0.081710303,0.096703683,-0.127646422,-0.069994232,-0.110429402,-0.096526621,-0.13067798,-0.126793245,-0.107362533,-0.049499284,0.107914433,-0.134885525,-0.124683726,0.109931207,-0.086127776,-0.122195104,-0.120613967,-0.079689129,-0.016203765,-0.127232124,0.126398287,0.0824152,0.123935823,0.130489153,-0.138506808
8,0.441462997,0.094057703,-0.092154741,-0.130651658,-0.061946596,-0.111333561,-0.113829698,-0.082728772,-0.104963291,-0.0972108,-0.089368004,-0.126251508,-0.071333352,-0.107367048,-0.094886046,-0.103074456,0.0874049,0.13090615,-0.085976257,0.081069703,0.089495017,0.086833987,-0.105443235,0.089157303,0.094718017,-0.129022438,-0.08239453,-0.110737656,-0.105232341,-0.137152966,-0.166134416,-0.148365555,-0.062576627,0.088551767,-0.148592379,-0.130221199,0.053320708,-0.121993945,-0.138426006,-0.127232234,-0.11306871,-0.119388167,-0.153667584,0.092141287,0.080925867,0.092161157,0.095239153,-0.170174272
9,0.383374997,0.09902237,-0.089651094,-0.122463866,-0.049846484,-0.111114457,-0.10674502,-0.08068391,-0.104813012,-0.10081007,-0.091337026,-0.129163195,-0.068269204,-0.098833329,-0.092994567,-0.100002572,0.098327567,0.15473715,-0.073426871,0.090502703,0.10041735,0.10073532,-0.09016923,0.105044637,0.104647683,-0.116993454,-0.082879494,-0.107570578,-0.102518727,-0.13717362,-0.158806586,-0.141706244,-0.059270304,0.097488433,-0.141943566,-0.124836005,-0.012226124,-0.11466678,-0.119407241,-0.123921167,-0.115666625,-0.17242857,-0.142371045,0.088665953,0.0844012,0.10407649,0.089778153,-0.161130404
10,0.295001997,0.101504703,-0.090622781,-0.111297074,-0.044200706,-0.114370687,-0.100157009,-0.075660382,-0.104166399,-0.10341634,-0.091816382,-0.134557216,-0.074141724,-0.094767943,-0.092592421,-0.10040602,0.106767567,0.171617483,-0.067331818,0.094970703,0.11282935,0.11513332,-0.077873891,0.116463637,0.111102017,-0.106454136,-0.082867791,-0.105396499,-0.101791114,-0.13769094,-0.152471423,-0.138025933,-0.060432314,0.1034461,-0.135791753,-0.119451144,-0.106072289,-0.108828948,-0.106842809,-0.1250781,-0.114789206,-0.183268305,-0.134549839,0.090155287,0.0873802,0.11648849,0.087792153,-0.147618535
