Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
14,-0.01720306,-0.03869362,-0.021993247,-0.056159916,-0.015197539,-0.015377665,0.245589165,0.256277217,0.179582555,0.16570922,0.17205044,0.23207301,0.00872404,0.148137815,-0.014268423,-0.034562667,0.189012657,-0.013239798,-0.013710293,-0.037625927,-0.016878733,-0.00342458,-0.009847494,-0.031597202,-0.044522768,-0.039135848,0.009796285,-0.036767872,-0.01226126,-0.005709041,-0.0373158,-0.015975586,-0.01675171,-0.018620611,-0.04655512,-0.037933334,-0.061325167
15,-0.010480441,-0.034291822,-0.019996259,-0.047794851,-0.013597736,-0.008465466,0.262071832,0.270262883,0.194566888,0.17919522,0.179542773,0.245059343,0.027238102,0.158127482,-0.009318065,-0.028691862,0.201499323,-0.007292428,-0.011446205,-0.040285253,-0.017092185,0.003248288,-0.014152059,-0.029457034,-0.043133626,-0.034963626,0.014376006,-0.030448117,-0.012082454,-0.003704399,-0.041806973,-0.020942008,-0.015412979,-0.016504391,-0.028820165,-0.037318651,-0.064328865
16,0.000737511,-0.025894357,-0.011006604,-0.031937785,-0.006503599,-5.4266E-05,0.277056165,0.289242883,0.214545888,0.201671887,0.191030773,0.259044677,0.044753164,0.172612148,-0.002869373,-0.023820056,0.217982323,-0.001844724,-0.007184117,-0.035452247,-0.016306637,0.009421823,-0.005469957,-0.025318866,-0.039746818,-0.026795405,0.015958727,-0.020132361,-0.008906648,0.008289575,-0.038306478,-0.01841643,-0.012575581,-0.015387172,-0.01008621,-0.031209301,-0.055844563
17,0.012954463,-0.016997225,-0.004014949,-0.018578386,-0.001907128,0.0083566,0.297035165,0.306224883,0.230029888,0.217155887,0.19702444,0.27303001,0.062767559,0.184599482,-0.000416348,-0.017449917,0.22996999,0.002104647,-0.003921029,-0.033116907,-0.016519756,0.012099024,0.001214145,-0.020181698,-0.033362676,-0.01712885,0.013046448,-0.012813939,-0.005730843,0.01978455,-0.035804984,-0.015391185,-0.011236849,-0.012271953,-0.000842588,-0.025100285,-0.050357261
18,0.026170415,-0.009598426,0.002477039,-0.002221987,0.007684342,0.0117728,0.309522165,0.32070955,0.248011222,0.237634553,0.20551544,0.282020677,0.075287954,0.198085482,3.86764E-05,-0.019071112,0.239959657,0.005055351,-0.005153274,-0.028783567,-0.022726542,0.008282892,0.004901247,-0.01504453,-0.027478201,-0.007462295,0.015128836,-0.00699385,-0.003554371,0.022788191,-0.030806157,-0.009368941,-0.005902117,-0.011154734,-0.002587299,-0.022487268,-0.037877292
19,0.0209057,-0.014686628,-0.005015973,-0.000849588,-0.000705521,0.002202333,0.313517832,0.32570455,0.253505555,0.24262922,0.203017773,0.281021677,0.079816682,0.203579815,-0.008496632,-0.022690306,0.23945999,-0.000984611,-0.012379519,-0.03194256,-0.033928327,-0.001027573,-0.004398318,-0.019897029,-0.028586393,-0.006287073,0.008220557,-0.007167427,-0.010368565,0.013804499,-0.031800996,-0.010838696,-0.011556053,-0.016530514,-0.004831677,-0.025868252,-0.034887657
20,0.009147652,-0.021772829,-0.011510318,-0.002973522,-0.010094051,-0.009865468,0.317513832,0.32770255,0.260997555,0.249621887,0.20251844,0.279023677,0.085344077,0.209074148,-0.019529607,-0.026808834,0.23646299,-0.008023574,-0.020105098,-0.03610022,-0.046129113,-0.010837372,-0.01369755,-0.026747528,-0.028695918,-0.006110851,-0.000685722,-0.014333672,-0.021178759,0.000824807,-0.033295502,-0.014806118,-0.018708321,-0.028399628,-0.016565722,-0.034743235,-0.029899689
21,-0.000612396,-0.029358364,-0.01800433,-0.011091456,-0.025476581,-0.020434602,0.319511832,0.32970055,0.262495888,0.25511622,0.199022107,0.281021677,0.089872472,0.216066815,-0.029563582,-0.029429362,0.233965657,-0.016561203,-0.027830676,-0.039259213,-0.052835565,-0.019148837,-0.022996782,-0.034597027,-0.03080311,-0.007932296,-0.012588668,-0.016505249,-0.030490287,-0.008159218,-0.034790008,-0.019273206,-0.028857589,-0.036772409,-0.0188101,-0.037624886,-0.028408387
22,0.00061589,-0.027453899,-0.020003341,-0.011217724,-0.02837211,-0.022013402,0.329501498,0.33519455,0.270487555,0.26960122,0.205016107,0.291011343,0.099395867,0.223559148,-0.030107558,-0.028053557,0.23746199,-0.015608832,-0.029062922,-0.039420873,-0.053548018,-0.023464302,-0.02780068,-0.030458859,-0.025418302,-0.008754741,-0.01999628,-0.019675827,-0.034807148,-0.018142243,-0.035285514,-0.026237628,-0.029017191,-0.040150523,-0.022053144,-0.040506536,-0.021422752
23,0.011833842,-0.020055434,-0.019005353,-0.007347992,-0.025273973,-0.020595203,0.340490165,0.348181217,0.282475222,0.287582553,0.213507107,0.302998677,0.113914262,0.239542482,-0.028154199,-0.023681084,0.248450657,-0.013657461,-0.027797833,-0.030092866,-0.046269137,-0.023284768,-0.027609911,-0.027819024,-0.018035493,-0.005081853,-0.024906559,-0.015853405,-0.036126676,-0.021631935,-0.028788019,-0.02071505,-0.02468146,-0.035037637,-0.020801189,-0.032899186,-0.013438116
24,0.026048794,-0.006163635,-0.012013698,0.005012741,-0.01418417,-0.012184337,0.358471498,0.36116755,0.305451222,0.314054887,0.23698244,0.319481343,0.131429323,0.256025148,-0.017709508,-0.009818279,0.26343499,-0.005212757,-0.020039412,-0.015270526,-0.031498255,-0.017111233,-0.021425476,-0.017187523,-0.006657018,0.000588702,-0.022324838,-0.007535649,-0.02645787,-0.020126627,-0.020292525,-0.012694805,-0.014352061,-0.021932751,-0.015553234,-0.02379317,0.005535186
25,0.044759079,0.013222497,0.00247029,0.021369473,-0.001096366,-0.00177547,0.376952165,0.37864955,0.332922555,0.34152622,0.260457773,0.33596401,0.153939052,0.280499482,-0.008763483,0.003544527,0.280417323,0.00572928,-0.01028299,0.006044814,-0.014229708,-0.010438365,-0.015240708,-0.004558022,0.00771879,0.008756924,-0.015747117,0.004777774,-0.014791065,-0.015124986,-0.005803364,0.001818439,-0.003023663,-0.008328532,-0.007807945,-0.006695487,0.039492821
