Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,8.517345,9.393542,9.755288,9.703398,8.987319,9.387612,9.885754,8.477316,8.984353,9.366856,8.56627,8.819789,9.564037,9.706363,9.581828,9.879824,9.449879,8.277169,8.533653,8.708596,9.532903,9.347582,8.569235,9.312001,9.215634,10.059214,9.380199,8.981388,9.661886,9.522525,9.57145,8.782724,9.41578,8.956185,9.337204,9.620374,1.793906,1.795388,1.767219,2.042977,1.903615,1.899168,1.783528,1.746463,1.777597,1.825039,1.850243,1.820592
2,8.512897,9.40392,9.773079,9.730084,9.008074,9.420228,9.919853,8.511415,8.987319,9.384646,8.595921,8.864266,9.58331,9.730084,9.605549,9.875376,9.504734,8.29496,8.588508,8.761968,9.572932,9.372786,8.628537,9.325344,9.240837,10.088865,9.380199,9.019935,9.685607,9.547729,9.614444,8.794585,9.427641,8.993249,9.341652,9.624822,1.808731,1.793906,1.793906,2.054837,1.909546,1.903615,1.795388,1.77315,1.792423,1.844313,1.850243,1.816144
3,8.581095,9.365373,9.722672,9.664851,8.985836,9.390577,9.882789,8.478798,8.933946,9.335722,8.576648,8.859818,9.547729,9.700433,9.57145,9.816073,9.478048,8.278652,8.575165,8.75159,9.568485,9.35203,8.628537,9.314966,9.227494,10.059214,9.35203,9.019935,9.644096,9.507699,9.572932,8.778277,9.389094,8.972493,9.291245,9.58331,1.808731,1.795388,1.795388,2.060768,1.908063,1.908063,1.783528,1.774632,1.78501,1.835417,1.873964,1.84283
4,8.560339,9.3461,9.727119,9.661886,8.941359,9.353512,9.830899,8.444699,8.899847,9.289762,8.558857,8.864266,9.516595,9.661886,9.534386,9.770114,9.448397,8.262343,8.575165,8.724904,9.553659,9.325344,8.619642,9.286797,9.19043,10.013255,9.313483,9.009557,9.624822,9.486943,9.568485,8.757521,9.375751,8.930981,9.252698,9.57738,1.813179,1.782045,1.77908,2.051872,1.922889,1.924371,1.805766,1.764254,1.789458,1.833935,1.862104,1.829487
5,8.533653,9.243803,9.644096,9.575897,8.864266,9.274936,9.755288,8.382431,8.813858,9.19636,8.477316,8.807928,9.445432,9.595171,9.445432,9.69895,9.384646,8.208971,8.517345,8.653741,9.494356,9.266041,8.573682,9.223047,9.114819,9.934679,9.246768,8.966563,9.553659,9.414298,9.503252,8.699701,9.307553,8.870196,9.166709,9.528455,1.808731,1.789458,1.789458,2.05632,1.913993,1.913993,1.796871,1.768702,1.787975,1.83097,1.863586,1.826522
6,8.546996,9.142988,9.565519,9.491391,8.785689,9.185982,9.661886,8.277169,8.689323,9.116302,8.412083,8.772346,9.380199,9.51363,9.35203,9.620374,9.304588,8.148186,8.463973,8.558857,9.448397,9.214151,8.527723,9.171157,9.049586,9.86055,9.168192,8.90133,9.472118,9.343135,9.46767,8.661154,9.251215,8.807928,9.042173,9.464705,1.805766,1.79094,1.787975,2.059285,1.919924,1.922889,1.804284,1.765737,1.786493,1.83097,1.865069,1.83097
7,8.518827,9.021418,9.449879,9.36389,8.650776,9.036243,9.541798,8.210454,8.641881,9.009557,8.30682,8.705631,9.257146,9.392059,9.197843,9.501769,9.205256,8.082953,8.363158,8.499554,9.3461,9.125197,8.471385,9.06886,8.91912,9.752323,9.052551,8.853888,9.386129,9.271971,9.386129,8.58406,9.125197,8.705631,8.963597,9.408367,1.805766,1.792423,1.787975,2.051872,1.921406,1.924371,1.810214,1.770184,1.799836,1.841348,1.873964,1.841348
8,8.459525,8.947289,9.285314,9.217116,8.545514,8.928016,9.4736,8.183767,8.62409,8.886504,8.256413,8.561822,9.119267,9.24232,9.110372,9.347582,9.07479,8.071092,8.275687,8.496589,9.212669,8.997696,8.349815,8.935429,8.801998,9.595171,8.944324,8.713044,9.215634,9.105924,9.280867,8.453595,9.092581,8.63002,8.945807,9.270489,1.789458,1.787975,1.783528,2.054837,1.924371,1.922889,1.808731,1.771667,1.793906,1.833935,1.865069,1.835417
9,8.425426,8.973975,9.291245,9.233425,8.538101,8.930981,9.485461,8.17932,8.632985,8.892434,8.269756,8.511415,9.076273,9.230459,9.116302,9.304588,9.071825,8.068127,8.268274,8.50845,9.101476,8.916155,8.290512,8.867231,8.796067,9.57145,8.945807,8.640398,9.194878,9.062929,9.162261,8.386879,9.097028,8.631503,8.963597,9.175604,1.793906,1.78501,1.78501,2.051872,1.916959,1.911028,1.79094,1.767219,1.792423,1.825039,1.860621,1.833935
10,8.375019,9.005109,9.309035,9.255663,8.558857,8.95322,9.507699,8.177837,8.647811,8.910225,8.283099,8.51438,9.095546,9.239355,9.137058,9.329791,9.089616,8.08147,8.272721,8.517345,9.08665,8.930981,8.299408,8.883539,8.804963,9.581828,8.960632,8.641881,9.209704,9.07479,9.129645,8.400222,9.123715,8.643363,8.979906,9.135575,1.795388,1.796871,1.78501,2.05039,1.912511,1.918441,1.793906,1.768702,1.798353,1.826522,1.862104,1.835417
11,8.29496,8.985836,9.286797,9.230459,8.535136,8.926533,9.483978,8.146703,8.631503,8.893917,8.262343,8.487694,9.071825,9.218599,9.117784,9.301623,9.056999,8.072575,8.254931,8.498072,9.070342,8.91319,8.278652,8.868713,8.784207,9.562554,8.947289,8.627055,9.187465,9.054034,9.114819,8.377984,9.113337,8.631503,8.963597,9.107406,1.79094,1.792423,1.783528,2.047424,1.909546,1.915476,1.79094,1.765737,1.79094,1.822074,1.857656,1.829487
12,8.312751,9.045139,9.335722,9.270489,8.563304,8.97101,9.534386,8.174872,8.659671,8.929498,8.290512,8.535136,9.107406,9.24825,9.156331,9.341652,9.083685,8.167459,8.283099,8.518827,9.097028,8.990284,8.308303,8.893917,8.821271,9.593688,8.960632,8.659671,9.224529,9.089616,9.147436,8.401705,9.137058,8.656706,8.991766,9.135575,1.787975,1.786493,1.789458,2.051872,1.915476,1.913993,1.796871,1.774632,1.792423,1.826522,1.865069,1.833935
13,8.318681,9.056999,9.331274,9.277902,8.576648,8.979906,9.547729,8.171907,8.677462,8.945807,8.299408,8.533653,9.123715,9.261593,9.159296,9.3461,9.089616,8.183767,8.281617,8.524758,9.105924,8.999179,8.315716,8.902812,8.819789,9.595171,8.962115,8.665602,9.226012,9.092581,9.157814,8.412083,9.151883,8.656706,9.000662,9.13854,1.801318,1.79094,1.786493,2.053355,1.916959,1.913993,1.799836,1.776115,1.79094,1.829487,1.866551,1.828005
14,8.333507,9.070342,9.340169,9.282349,8.573682,8.990284,9.552176,8.167459,8.692288,8.95322,8.297925,8.533653,9.12668,9.267524,9.163744,9.344617,9.092581,8.192663,8.277169,8.535136,9.119267,9.009557,8.318681,8.916155,8.828684,9.605549,8.985836,8.678945,9.233425,9.104441,9.168192,8.420978,9.162261,8.665602,9.014005,9.150401,1.796871,1.786493,1.786493,2.054837,1.915476,1.916959,1.796871,1.770184,1.793906,1.826522,1.865069,1.829487
15,8.339437,9.070342,9.317931,9.261593,8.545514,8.987319,9.552176,8.145221,8.68191,8.947289,8.291995,8.538101,9.12075,9.254181,9.163744,9.341652,9.076273,8.180802,8.274204,8.52624,9.111854,9.006592,8.308303,8.910225,8.825719,9.599619,8.966563,8.677462,9.234907,9.095546,9.168192,8.41653,9.165227,8.661154,9.009557,9.129645,1.783528,1.786493,1.793906,2.05039,1.908063,1.919924,1.801318,1.771667,1.787975,1.83097,1.863586,1.825039
16,8.345367,9.082203,9.334239,9.274936,8.557374,8.999179,9.565519,8.157081,8.707113,8.962115,8.302373,8.539583,9.129645,9.267524,9.162261,9.350547,9.089616,8.183767,8.278652,8.539583,9.107406,9.018452,8.314233,8.917638,8.825719,9.605549,8.976941,8.677462,9.230459,9.101476,9.1845,8.428391,9.163744,8.659671,9.01697,9.140023,1.796871,1.792423,1.78501,2.048907,1.913993,1.918441,1.793906,1.770184,1.796871,1.823557,1.860621,1.832452
