Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,9.99381,9.806314,9.608402,9.339063,9.876253,9.533999,9.483405,9.749768,9.089069,9.465548,9.478941,9.788457,9.797386,9.228947,9.886669,9.440251,10.09351,9.29591,8.583129,9.435787,9.822683,9.392634,9.654532,9.389657,9.132223,9.919407,9.420907,9.222995,9.106926,9.74084,9.626259,9.199186,9.379241,9.533999,9.373289,9.785481,9.455132,9.251268,9.507214,9.733399,9.571201,9.819707,9.642628,9.632211,9.968513,9.531023,9.214066,9.608402
2,10.044404,9.843516,9.664949,9.36436,9.882205,9.553344,9.516143,9.74828,9.086093,9.459596,9.478941,9.800362,9.800362,9.245316,9.920895,9.475965,10.138152,9.20365,8.624795,9.475965,9.85542,9.425371,9.703638,9.420907,9.166448,9.96256,9.444716,9.282517,9.14264,9.783993,9.672389,9.233411,9.434299,9.587569,9.409002,9.831611,9.514654,9.282517,9.532511,9.79441,9.592034,9.845004,9.691734,9.672389,10.028035,9.578641,9.266148,9.644116
3,10.056308,9.804826,9.638163,9.294422,9.830123,9.49531,9.465548,9.667925,9.036987,9.404538,9.423883,9.74084,9.734887,9.205138,9.874765,9.414954,10.099462,9.179841,8.617354,9.428347,9.80185,9.404538,9.675365,9.383705,9.148592,9.917919,9.398586,9.270613,9.100974,9.742328,9.623283,9.209602,9.422395,9.565248,9.370313,9.800362,9.525071,9.252756,9.529535,9.75572,9.560784,9.803338,9.66346,9.645604,9.986369,9.565248,9.263172,9.597986
4,10.023571,9.731911,9.553344,9.187281,9.734887,9.389657,9.382217,9.572689,8.995322,9.336087,9.345016,9.64114,9.660484,9.135199,9.798874,9.328647,10.032499,9.133711,8.589081,9.374777,9.75572,9.347992,9.596498,9.294422,9.087581,9.845004,9.337575,9.227459,9.023595,9.672389,9.542928,9.136687,9.370313,9.51019,9.322695,9.705126,9.493822,9.197698,9.492334,9.682805,9.490846,9.745304,9.611378,9.606914,9.925359,9.532511,9.237875,9.562272
5,9.992322,9.632211,9.486381,9.089069,9.617331,9.286981,9.337575,9.414954,8.946216,9.276565,9.288469,9.557808,9.531023,9.041451,9.70215,9.276565,9.99381,9.114366,8.55188,9.29591,9.672389,9.288469,9.542928,9.217042,9.039963,9.779529,9.261684,9.169425,8.971513,9.626259,9.44174,9.05782,9.300374,9.467037,9.284005,9.584593,9.486381,9.185793,9.498286,9.621795,9.377753,9.660484,9.56376,9.574177,9.885181,9.525071,9.212578,9.522095
6,9.944704,9.478941,9.353944,8.978953,9.483405,9.129247,9.194722,9.251268,8.874789,9.133711,9.156032,9.413466,9.392634,8.894134,9.581617,9.114366,9.871789,9.016154,8.432835,9.105438,9.498286,9.175377,9.472989,9.106926,8.959608,9.673877,9.124783,9.029547,8.798898,9.50275,9.306326,8.926871,9.154544,9.336087,9.190257,9.425371,9.397098,9.097998,9.416443,9.471501,9.245316,9.554832,9.489357,9.467037,9.769113,9.447692,9.14264,9.432811
7,9.928335,9.417931,9.246804,8.987881,9.483405,9.135199,9.092045,9.181329,8.775089,9.005738,9.039963,9.333111,9.334599,8.889669,9.477453,9.039963,9.731911,8.914966,8.337599,9.053356,9.419419,9.053356,9.361384,8.99681,8.825683,9.544416,9.020619,8.876277,8.752768,9.400074,9.260196,8.867348,9.09651,9.212578,9.072701,9.409002,9.240851,9.028059,9.313766,9.339063,9.129247,9.431323,9.379241,9.389657,9.670901,9.379241,9.093534,9.330135
8,9.886669,9.438763,9.237875,8.999786,9.501262,9.145616,9.083117,9.19621,8.782529,9.007226,9.032523,9.336087,9.345016,8.901574,9.455132,9.05782,9.583105,8.853956,8.342063,9.075677,9.429835,8.980441,9.266148,8.989369,8.786993,9.525071,9.029547,8.870325,8.748304,9.331623,9.267637,8.876277,9.120319,9.178353,8.980441,9.419419,9.188769,8.928359,9.218531,9.359896,9.124783,9.339063,9.251268,9.239363,9.592034,9.272101,8.980441,9.194722
9,9.804826,9.443228,9.246804,9.00425,9.496798,9.145616,9.068237,9.182817,8.776577,9.020619,9.044428,9.333111,9.330135,8.888181,9.447692,9.044428,9.572689,8.856932,8.342063,9.075677,9.425371,8.964072,9.258708,8.987881,8.769136,9.522095,9.01169,8.86586,8.752768,9.334599,9.26466,8.86586,9.105438,9.172401,8.978953,9.416443,9.184305,8.864372,9.127759,9.345016,9.115854,9.328647,9.215554,9.184305,9.60245,9.173889,8.886693,9.153056
10,9.690246,9.443228,9.255732,9.007226,9.501262,9.144128,9.075677,9.191745,8.801874,9.022107,9.047404,9.333111,9.340551,8.89711,9.455132,9.05782,9.584593,8.880741,8.353968,9.087581,9.438763,8.971513,9.266148,9.002762,8.772113,9.538463,9.023595,8.873301,8.752768,9.334599,9.267637,8.870325,9.115854,9.181329,8.990857,9.423883,9.191745,8.873301,9.124783,9.347992,9.117342,9.328647,9.214066,9.185793,9.626259,9.175377,8.879253,9.15752
11,9.532511,9.435787,9.239363,8.986393,9.493822,9.151568,9.071213,9.184305,8.803362,9.022107,9.05782,9.340551,9.34204,8.883717,9.45662,9.051868,9.574177,8.873301,8.342063,9.074189,9.429835,8.967048,9.261684,8.989369,8.752768,9.529535,9.002762,8.859908,8.739375,9.327159,9.270613,8.861396,9.100974,9.175377,8.975977,9.404538,9.179841,8.864372,9.123295,9.339063,9.11139,9.327159,9.217042,9.179841,9.614354,9.169425,8.871813,9.15008
12,9.511678,9.443228,9.251268,9.001274,9.489357,9.160496,9.075677,9.185793,8.827171,9.016154,9.066748,9.358408,9.346504,8.880741,9.471501,9.077165,9.577153,8.892645,8.358432,9.087581,9.453644,8.978953,9.267637,9.008714,8.760208,9.547392,9.020619,8.862884,8.740863,9.336087,9.282517,8.876277,9.115854,9.191745,8.989369,9.406026,9.187281,8.880741,9.148592,9.35692,9.114366,9.333111,9.221507,9.187281,9.627747,9.188769,8.888181,9.161984
13,9.538463,9.459596,9.272101,9.019131,9.487869,9.181329,9.083117,9.205138,8.848004,9.038475,9.083117,9.36436,9.361384,8.89711,9.490846,9.080141,9.603938,8.920919,8.364384,9.09651,9.46406,8.990857,9.288469,9.026571,8.760208,9.565248,9.026571,8.877765,8.760208,9.34948,9.298886,8.877765,9.115854,9.21109,9.005738,9.429835,9.200674,8.895622,9.161984,9.361384,9.114366,9.333111,9.228947,9.197698,9.642628,9.19621,8.895622,9.182817
14,9.545904,9.489357,9.300374,9.036987,9.499774,9.197698,9.11139,9.225971,8.862884,9.048892,9.09651,9.386681,9.383705,8.909014,9.511678,9.095022,9.626259,8.940263,8.392657,9.108414,9.477453,9.014666,9.316743,9.039963,8.785505,9.587569,9.032523,8.882229,8.761696,9.373289,9.322695,8.892645,9.127759,9.228947,9.023595,9.44918,9.214066,8.907526,9.176865,9.379241,9.124783,9.343528,9.239363,9.209602,9.651556,9.21109,8.914966,9.19621
15,9.566737,9.50275,9.312278,9.060796,9.523583,9.212578,9.118831,9.243828,8.885205,9.063772,9.117342,9.40305,9.397098,8.922407,9.535487,9.114366,9.630723,8.961096,8.400098,9.102462,9.498286,9.026571,9.322695,9.051868,8.791457,9.599474,9.045916,8.883717,8.757232,9.371801,9.334599,8.90455,9.148592,9.251268,9.035499,9.453644,9.221507,8.923895,9.182817,9.379241,9.124783,9.352456,9.252756,9.215554,9.657508,9.218531,8.922407,9.212578
16,9.553344,9.484893,9.298886,9.041451,9.507214,9.197698,9.106926,9.230435,8.873301,9.056332,9.100974,9.388169,9.377753,8.909014,9.51019,9.097998,9.624771,8.956632,8.389681,9.092045,9.472989,9.013178,9.325671,9.035499,8.779553,9.597986,9.029547,8.876277,8.754256,9.373289,9.330135,8.886693,9.133711,9.237875,9.032523,9.459596,9.215554,8.917942,9.193234,9.376265,9.100974,9.334599,9.240851,9.217042,9.650068,9.212578,8.923895,9.212578
17,9.569713,9.492334,9.318231,9.05782,9.520607,9.214066,9.120319,9.248292,8.895622,9.074189,9.118831,9.409002,9.386681,8.916454,9.525071,9.118831,9.638163,8.983417,8.391169,9.112878,9.496798,9.025083,9.339063,9.048892,8.784017,9.611378,9.063772,8.892645,8.76616,9.389657,9.350968,8.903062,9.159008,9.260196,9.054844,9.481917,9.233411,8.943239,9.21109,9.382217,9.092045,9.350968,9.263172,9.218531,9.673877,9.227459,8.944728,9.237875
18,9.581617,9.49531,9.328647,9.074189,9.536975,9.230435,9.127759,9.255732,8.916454,9.089069,9.124783,9.406026,9.382217,8.922407,9.526559,9.118831,9.64114,8.998298,8.391169,9.120319,9.50275,9.025083,9.336087,9.06526,8.789969,9.615843,9.06526,8.895622,8.764672,9.389657,9.361384,8.901574,9.172401,9.270613,9.060796,9.492334,9.240851,8.952168,9.214066,9.380729,9.099486,9.35692,9.272101,9.224483,9.688757,9.233411,8.949192,9.24978
19,9.593522,9.514654,9.346504,9.086093,9.544416,9.246804,9.15008,9.267637,8.923895,9.102462,9.156032,9.434299,9.398586,8.941751,9.538463,9.141151,9.653044,9.020619,8.407538,9.126271,9.517631,9.044428,9.352456,9.074189,8.809314,9.632211,9.078653,8.900086,8.764672,9.413466,9.380729,8.917942,9.179841,9.282517,9.087581,9.516143,9.248292,8.967048,9.225971,9.398586,9.127759,9.358408,9.285493,9.237875,9.696198,9.246804,8.980441,9.269125
20,9.606914,9.526559,9.367337,9.108414,9.565248,9.260196,9.170913,9.284005,8.946216,9.106926,9.16496,9.440251,9.41049,8.953656,9.557808,9.16496,9.670901,9.035499,8.412002,9.136687,9.523583,9.051868,9.36436,9.077165,8.822707,9.653044,9.092045,8.910502,8.773601,9.413466,9.401562,8.922407,9.197698,9.288469,9.093534,9.531023,9.263172,8.995322,9.234899,9.404538,9.144128,9.36436,9.298886,9.246804,9.70959,9.255732,8.993834,9.289957
21,9.626259,9.54144,9.373289,9.118831,9.574177,9.275077,9.193234,9.292934,8.95812,9.115854,9.181329,9.45662,9.420907,8.95812,9.572689,9.179841,9.681317,9.054844,8.425395,9.148592,9.54144,9.063772,9.377753,9.092045,8.825683,9.669413,9.10395,8.931335,8.778065,9.426859,9.406026,8.932823,9.20365,9.322695,9.114366,9.550368,9.269125,9.002762,9.245316,9.413466,9.161984,9.374777,9.312278,9.25722,9.725959,9.263172,9.007226,9.30335
22,9.642628,9.554832,9.383705,9.139663,9.587569,9.300374,9.205138,9.312278,8.978953,9.132223,9.19621,9.471501,9.426859,8.978953,9.586081,9.202162,9.690246,9.075677,8.432835,9.159008,9.553344,9.077165,9.392634,9.099486,8.894134,9.682805,9.120319,8.943239,8.782529,9.44174,9.420907,8.946216,9.221507,9.34204,9.117342,9.565248,9.279541,9.017642,9.252756,9.423883,9.182817,9.385193,9.330135,9.260196,9.728935,9.279541,9.023595,9.325671
23,9.664949,9.569713,9.404538,9.156032,9.603938,9.313766,9.230435,9.321207,8.995322,9.141151,9.215554,9.501262,9.443228,8.986393,9.603938,9.212578,9.711078,9.09651,8.441763,9.170913,9.562272,9.087581,9.397098,9.10395,8.907526,9.693222,9.133711,8.946216,8.792945,9.446204,9.437275,8.953656,9.227459,9.34948,9.126271,9.590546,9.297398,9.036987,9.266148,9.438763,9.202162,9.388169,9.346504,9.267637,9.745304,9.294422,9.038475,9.345016
24,9.664949,9.577153,9.404538,9.163472,9.605426,9.322695,9.245316,9.324183,9.010202,9.144128,9.224483,9.514654,9.444716,9.002762,9.605426,9.225971,9.70959,9.102462,8.438787,9.172401,9.566737,9.095022,9.411978,9.109902,8.907526,9.693222,9.145616,8.955144,8.794434,9.444716,9.44918,8.95068,9.239363,9.347992,9.132223,9.592034,9.301862,9.045916,9.272101,9.432811,9.21109,9.394122,9.355432,9.279541,9.749768,9.301862,9.047404,9.367337
25,9.699174,9.608402,9.428347,9.185793,9.626259,9.353944,9.266148,9.350968,9.032523,9.167937,9.252756,9.523583,9.45662,9.022107,9.618819,9.239363,9.727447,9.129247,8.453668,9.185793,9.590546,9.109902,9.428347,9.124783,8.919431,9.664949,9.16496,8.974489,8.807826,9.462572,9.465548,8.959608,9.279541,9.371801,9.145616,9.618819,9.315254,9.063772,9.289957,9.447692,9.234899,9.398586,9.386681,9.294422,9.767625,9.319719,9.056332,9.409002
26,9.693222,9.600962,9.425371,9.191745,9.626259,9.350968,9.272101,9.345016,9.048892,9.167937,9.275077,9.528047,9.453644,9.026571,9.626259,9.246804,9.733399,9.132223,8.45962,9.191745,9.596498,9.117342,9.426859,9.130735,8.928359,9.667925,9.176865,8.986393,8.810802,9.461084,9.465548,8.961096,9.284005,9.380729,9.151568,9.627747,9.319719,9.083117,9.286981,9.453644,9.245316,9.406026,9.392634,9.294422,9.767625,9.324183,9.06526,9.465548
27,9.699174,9.618819,9.438763,9.197698,9.630723,9.376265,9.298886,9.362872,9.062284,9.178353,9.34948,9.545904,9.472989,9.041451,9.638163,9.266148,9.74828,9.148592,8.474501,9.191745,9.59501,9.121807,9.446204,9.133711,8.947704,9.690246,9.179841,8.995322,8.815266,9.477453,9.484893,8.980441,9.284005,9.397098,9.160496,9.642628,9.330135,9.093534,9.297398,9.461084,9.260196,9.41049,9.41049,9.307814,9.781017,9.336087,9.081629,9.586081
