Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0.45796487,0.27882597,0.43258288,0.509632,0.47781647,0.4243553,0.5435678,0.56119639,0.54632559,0.54247085,0.49875034,0.5325823,0.58294512,0.53796399,0.4957257,0.54069179,0.54586594,0.57273013,0.57514663,0.260319693,0.254740622,0.55109966,0.50653325,0.51152965,0.50559991,0.59504296,0.63149955,0.195437275,0.63407888,0.6134413,0.191200255,0.52991371,0.45336876,0.5193579,0.57950553,0.248019634,0.52844634,0.56893479,0.49987724,0.202781335,0.201520795,0.47620017,0.4866084,0.57680736,0.34878829,0.154639475,0.4734573,0.119141683
2,0.430784537,0.28006147,0.42146388,0.4903585,0.449153637,0.4023638,0.526024133,0.54661789,0.515685757,0.526656683,0.47922984,0.519980467,0.536491453,0.515231323,0.474969867,0.536738457,0.529557773,0.55271563,0.561803463,0.256425758,0.256218915,0.54442816,0.51172225,0.513506317,0.490527243,0.576263793,0.61741505,0.192929344,0.613570047,0.600839467,0.193838025,0.520029877,0.433106927,0.519358067,0.57061003,0.24153732,0.524245507,0.56473429,0.49839474,0.206017093,0.205368925,0.47397617,0.4895734,0.565935193,0.356942623,0.161863033,0.4746928,0.127975496
3,0.370493537,0.28203847,0.393295213,0.447363833,0.394792637,0.358875133,0.482041467,0.516472557,0.468243423,0.493546017,0.439200507,0.496753467,0.44407812,0.476684657,0.4423532,0.519936123,0.49249344,0.50527363,0.529186797,0.241659823,0.249049041,0.54195716,0.509251583,0.51449465,0.46384091,0.53079846,0.58875205,0.190421247,0.571564047,0.5682228,0.197217295,0.496308877,0.404443927,0.516393067,0.55776103,0.238020173,0.521774507,0.55089729,0.48851074,0.211229683,0.217618222,0.48237717,0.4925384,0.543202527,0.36929729,0.174275592,0.4771638,0.143480976
4,0.267702203,0.22965447,0.323120547,0.360386833,0.304850303,0.2718978,0.397535133,0.446297557,0.38818509,0.44462135,0.378909507,0.4394278,0.31608312,0.400085657,0.3716842,0.47397679,0.440603773,0.442017297,0.47779113,0.194771554,0.214698501,0.50291616,0.47367025,0.47495965,0.418869577,0.46260046,0.535379383,0.15084915,0.495953047,0.511885467,0.180334565,0.427616543,0.369850593,0.492672067,0.513778363,0.200898026,0.493605507,0.509879623,0.457871073,0.185802274,0.199227519,0.45371417,0.463381067,0.48982986,0.357930957,0.168897484,0.447512467,0.126864123
5,0.17528887,0.168375137,0.231695547,0.253642167,0.20749497,0.185909133,0.289802133,0.357343557,0.289841757,0.38136535,0.305769507,0.3707358,0.19896012,0.29334099,0.2802592,0.40874379,0.373394107,0.366406297,0.402180463,0.119714952,0.156626961,0.452508827,0.412390917,0.412691983,0.364508577,0.385507127,0.47410005,0.094968719,0.40008038,0.440722467,0.149120502,0.33223821,0.332786593,0.4570904,0.46238303,0.153892213,0.459012507,0.45453029,0.40993474,0.146537532,0.169470483,0.408248837,0.412974067,0.426079527,0.33272729,0.15412971,0.4144018,0.104316937
6,0.106102537,0.10907247,0.148177547,0.160734833,0.125459637,0.111286467,0.178115467,0.234290223,0.17815509,0.28252735,0.208908507,0.2684388,0.119395453,0.181654323,0.178456533,0.32473179,0.28196944,0.267568297,0.289505463,0.006605683,0.065938754,0.371955827,0.320965917,0.314348317,0.275060243,0.278268127,0.39354705,0.003506955,0.27159138,0.3334838,0.085784105,0.213138877,0.26607126,0.4022354,0.37342903,0.059938399,0.39476784,0.38188429,0.343713407,0.088987789,0.109568113,0.318306503,0.333409733,0.334654527,0.28034329,0.110698935,0.355099133,0.050635751
7,0.095230203,0.08831647,0.106665547,0.115269167,0.095808303,0.090530467,0.1128828,0.14434789,0.110945423,0.184184017,0.137745173,0.1770138,0.098145453,0.112467657,0.116188867,0.226388123,0.18510844,0.172189963,0.184243463,-0.095137586,-0.038092119,0.269658827,0.21471525,0.203155983,0.17968191,0.178936127,0.281366383,-0.066704809,0.16682338,0.217349467,-0.010168625,0.131597543,0.18749526,0.3187174,0.26075403,-0.048841081,0.314709173,0.286999957,0.253771073,0.01364738,0.03039241,0.21205617,0.2276534,0.224450527,0.205226623,0.042558494,0.271581133,-0.025284103
8,0.09177087,0.08040947,0.092828213,0.106373833,0.093831637,0.087071133,0.0871848,0.090975223,0.08920109,0.107584683,0.091291507,0.106344467,0.09715712,0.093688323,0.092961867,0.14435279,0.117898773,0.107451297,0.112091797,-0.157345854,-0.133227659,0.172797827,0.129714917,0.12408565,0.109507243,0.110243793,0.174127383,-0.10726524,0.097637047,0.123453467,-0.099202688,0.090579877,0.120285593,0.214937733,0.15400903,-0.140817895,0.208458507,0.183714623,0.160863407,-0.081954696,-0.07349296,0.130020837,0.1391934,0.133025527,0.13159229,-0.051279614,0.172249133,-0.095273622
9,0.096712537,0.086833803,0.093816547,0.115269167,0.10272697,0.098437467,0.096080133,0.095917223,0.09957909,0.091276683,0.096233507,0.087071133,0.09369812,0.10060699,0.0969152,0.095922123,0.09121244,0.09213163,0.09677213,-0.167170123,-0.182403533,0.106082493,0.090179583,0.092951983,0.085786243,0.094923793,0.103458383,-0.106314004,0.09368338,0.0933078,-0.145242418,0.090579877,0.083715593,0.1279604,0.09915403,-0.174480375,0.131365173,0.113539957,0.102549073,-0.156800772,-0.156127996,0.09098017,0.088786067,0.087066193,0.08958629,-0.119419722,0.108993133,-0.130175809
10,0.107090537,0.095729137,0.098264213,0.108844833,0.108163303,0.107827133,0.106458133,0.102341557,0.110945423,0.102643017,0.109082507,0.090530467,0.091721453,0.113950323,0.101362867,0.08999179,0.096154107,0.100532963,0.09726613,-0.158214725,-0.186608406,0.08928016,0.093144583,0.106294983,0.094187577,0.104807793,0.091103717,-0.095479101,0.105049713,0.0992378,-0.154712148,0.09651021,0.086680593,0.0889194,0.09124703,-0.165148522,0.091830173,0.092783957,0.090194407,-0.187663848,-0.193792033,0.100863837,0.0873034,0.08854886,0.08365629,-0.15098983,0.0892258,-0.127025328
11,0.125375537,0.108083803,0.10765388,0.103408833,0.119035303,0.1226528,0.120295467,0.11321389,0.12626509,0.120434017,0.132309507,0.1038738,0.09814612,0.130752657,0.113223533,0.098393123,0.10257844,0.11535863,0.104184797,-0.145799994,-0.170551613,0.09175116,0.101051583,0.122603317,0.10357691,0.11419746,0.10296405,-0.089091532,0.123828713,0.1096158,-0.149850211,0.107876543,0.100023593,0.092872733,0.100636697,-0.149886669,0.097760507,0.105632957,0.108479407,-0.17553259,-0.186484736,0.119148837,0.095704733,0.094973193,0.09156329,-0.146484271,0.0991098,-0.113991182
12,0.132788537,0.11203747,0.10468888,0.0890775,0.118541303,0.125618133,0.125237133,0.11568489,0.129230423,0.12142235,0.140710507,0.110792467,0.100616787,0.13174099,0.1171772,0.112230457,0.106037773,0.121782963,0.10023113,-0.137338929,-0.16190782,0.09471616,0.104510917,0.130015983,0.110001577,0.122598793,0.108400383,-0.093576296,0.132230047,0.111592467,-0.149435941,0.113312543,0.108424927,0.1027564,0.102119363,-0.144014149,0.10418484,0.108597957,0.121328407,-0.162412999,-0.176706772,0.13100917,0.098175733,0.094973193,0.095516957,-0.143955713,0.102569133,-0.106887035
