Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.49773245,0.63275671,0.62635726,0.59638972,0.63136508,0.45203269,0.3791947,0.42680513,0.61766158,0.49011822,0.44172219,0.46222448,0.260747367,0.189653093
2,0.483659617,0.621399877,0.615247093,0.585279553,0.619267413,0.453267023,0.368578367,0.423842297,0.601613747,0.481724053,0.440487857,0.452595813,0.246968138,0.195349578
3,0.46193295,0.60708021,0.607840427,0.576885553,0.600009747,0.457217357,0.3606777,0.429273963,0.58531908,0.459010053,0.439006523,0.441238813,0.214919242,0.202280564
4,0.39872895,0.55720821,0.564881427,0.53442022,0.55606308,0.433516023,0.3241377,0.389771297,0.534459747,0.40271872,0.39456619,0.38939148,0.154724679,0.167733882
5,0.315279617,0.494497877,0.515997093,0.47368522,0.505203413,0.39845769,0.286610367,0.341380963,0.478662413,0.313344053,0.333830857,0.329149813,0.065397116,0.116892201
6,0.205166283,0.404135877,0.44884276,0.392704887,0.432617413,0.342166357,0.223900033,0.25398163,0.389781747,0.209650053,0.239518523,0.235331147,-0.035781446,0.049262186
7,0.13307395,0.298466543,0.370825093,0.290985887,0.336329747,0.27106169,0.158721033,0.171520297,0.28707508,0.132620053,0.16150119,0.156819813,-0.106345676,-0.030218829
8,0.089621283,0.18785921,0.256761427,0.188772887,0.216340747,0.18020569,0.1029237,0.106340963,0.17844308,0.093117387,0.099778523,0.096084813,-0.141851239,-0.119575177
9,0.08616495,0.111816877,0.152573427,0.111742887,0.130916413,0.11502669,0.077741033,0.089552297,0.111782413,0.091636053,0.08694019,0.08374048,-0.139335801,-0.179304858
10,0.09060895,0.09305321,0.09578876,0.089028887,0.092401413,0.084412023,0.083172367,0.10239063,0.09203108,0.100524053,0.089408857,0.087197147,-0.129413364,-0.195087873
11,0.11134795,0.105397877,0.105664427,0.108286553,0.102770747,0.090831357,0.094529367,0.12066063,0.104869413,0.12225072,0.105209857,0.098554147,-0.112084593,-0.169887221
12,0.118754617,0.104903877,0.11208376,0.11371822,0.103264747,0.09181869,0.0955167,0.124610963,0.108819747,0.13360772,0.11113519,0.098060147,-0.107100156,-0.156537236
13,0.124186283,0.102928543,0.117515093,0.118655887,0.106721413,0.09626269,0.101936033,0.130042297,0.113263747,0.14052072,0.116566857,0.09756648,-0.100634385,-0.143187251
14,0.120729617,0.102434543,0.117021427,0.117174553,0.10770908,0.098731357,0.110824033,0.136461297,0.115732747,0.143977053,0.118541857,0.10003548,-0.092193282,-0.130824599
15,0.136530617,0.116260543,0.137760093,0.134456887,0.127460413,0.108607023,0.126131367,0.15324963,0.13301508,0.158790387,0.13138019,0.108429813,-0.076839178,-0.105129947
16,0.139987283,0.117741877,0.142698093,0.136925887,0.13289208,0.10761969,0.128106367,0.15571863,0.13548408,0.16718472,0.13582419,0.10892348,-0.077286074,-0.092273628
17,0.148381617,0.121198543,0.14566076,0.139888553,0.141286413,0.11255769,0.130081367,0.15818763,0.13943408,0.17854172,0.141749857,0.109910813,-0.076745636,-0.08188631
18,0.14294995,0.117741877,0.144673093,0.134950553,0.140298747,0.111570357,0.134525367,0.160162963,0.131533413,0.181504387,0.138293523,0.110404813,-0.076698866,-0.077918324
19,0.14936895,0.12613621,0.153561093,0.14235722,0.155605747,0.11749569,0.1453887,0.170532297,0.13696508,0.19236772,0.143231523,0.11781148,-0.067270428,-0.061605673
20,0.154306617,0.133542877,0.16541176,0.152232887,0.17288808,0.121446023,0.1542767,0.18139563,0.14437208,0.202243387,0.15014419,0.123736813,-0.057841658,-0.041836687
21,0.165663617,0.14687521,0.173806093,0.164083887,0.193626747,0.131321357,0.164646367,0.19275263,0.154741747,0.21755072,0.164463857,0.13311848,-0.044956554,-0.018611035
22,0.17603295,0.16317021,0.183188093,0.17889722,0.212884413,0.145641023,0.174522033,0.206084963,0.16511108,0.234339053,0.182239857,0.142994147,-0.030590117,0.004614617
23,0.18541495,0.179464877,0.19355776,0.189266553,0.23411708,0.154529023,0.187360367,0.21991063,0.175480413,0.24865872,0.196065857,0.15138848,-0.017211346,0.031296935
24,0.199734617,0.195265877,0.208865093,0.201610887,0.255843747,0.167367357,0.196742033,0.233736297,0.19177508,0.26692872,0.211372857,0.162251813,-0.005807909,0.06736092
25,0.21306695,0.20563521,0.22071576,0.209017887,0.27559508,0.17329269,0.2066177,0.245093297,0.203625747,0.279767053,0.223223523,0.17212748,0.005595862,0.111325572
26,0.22689295,0.214523543,0.23404776,0.220374887,0.294852413,0.184156023,0.215012033,0.256450297,0.219920413,0.30099972,0.238036857,0.180521813,0.015024299,0.179485558
27,0.240225283,0.229336877,0.246886093,0.230744553,0.312134747,0.193538023,0.228344033,0.266325963,0.230289747,0.31926972,0.24890019,0.189409813,0.029390736,0.288629543
28,0.24960695,0.241681543,0.258243093,0.241607553,0.32447908,0.202920023,0.236244367,0.27620163,0.23868408,0.337046053,0.255319523,0.196322813,0.037831507,0.476284528
29,0.263432617,0.25797621,0.26811876,0.253951887,0.337317413,0.21921469,0.248095367,0.28508963,0.247572413,0.349390387,0.267170523,0.208173813,0.049235278,0.811086513
30,0.278739617,0.26686421,0.27700676,0.266789887,0.348674413,0.22859669,0.255008367,0.293483963,0.25744808,0.358278387,0.280008857,0.214099147,0.064095382,1.411049499
31,0.286146283,0.27130821,0.280957093,0.271233887,0.355093747,0.234522023,0.262909033,0.297433963,0.263373413,0.35975972,0.288896857,0.217061813,0.082905819,2.423814484
32,0.29404695,0.27130821,0.286882427,0.274690553,0.355587747,0.23550969,0.269328033,0.304346963,0.265348413,0.35975972,0.29284719,0.219036813,0.110604256,3.991590136
33,0.29651595,0.270814543,0.287870093,0.277159553,0.35657508,0.23550969,0.2722907,0.306815963,0.266829747,0.362722387,0.29531619,0.221505813,0.158548027,6.160298121
34,0.313798617,0.276739877,0.29774576,0.290985553,0.36793208,0.247360357,0.2831537,0.315704297,0.27522408,0.374573053,0.309635857,0.236319147,0.258832464,8.869203773
