Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0.096779625,0.097992745,0.014963119,0.03051422,0.09759586,0.099640185,0.096659815,0.016336863,-0.018923836,-0.018464851,0.095933445,-0.016918521,0.09728135,0.09442079,0.094360885,0.09361205,-0.033297447,-0.034409489,-0.030792746,-0.012641881,0.002684092,-0.042177287,-0.017480218,-0.006411255,-0.033633666,0.00045655,0.018016133,-0.018058515,0.024951294,-0.010202875,-0.012311159,0.095896005,0.099160925,0.095469165,0.02377045,0.091882235,0.044232534,0.017603309,-0.020836087,0.007323735,0.024872489,-0.008825047,-0.055482296,-0.004617792,0.061909479,0.09568633,0.06079021,5.46993E-05
2,0.108261792,0.111970912,0.021027279,0.038105825,0.113820527,0.118610685,0.112634982,0.019908732,-0.005855233,-0.003326825,0.118148945,-0.008122625,0.11600235,0.116636457,0.119072718,0.120819717,-0.022620601,-0.018912479,-0.024175418,-0.000954121,0.011803735,-0.034591829,-0.001425733,0.005079342,-0.018614255,0.006387562,0.019459242,-0.011193139,0.035920978,0.002742219,0.001907747,0.116863172,0.113638425,0.150134332,0.018341227,0.110852735,0.048978138,0.02499673,-0.012124454,0.018321812,0.02789762,0.003849506,-0.039440744,-0.00581244,0.060451646,0.11166133,0.060790377,0.008823984
3,0.134720792,0.132439245,0.032333105,0.05368493,0.138282527,0.144570352,0.151075315,0.035461767,0.019444204,0.017053201,0.155590945,0.014402104,0.150448683,0.15507679,0.162006052,0.16575005,0.003033246,0.007567199,0.018635744,0.024462305,0.029909377,-0.011780205,0.026360586,0.028800939,0.010632989,0.019058074,0.027641684,0.013893905,0.050884328,0.025671814,0.029854987,0.153805505,0.137601425,0.216031998,0.02439417,0.142803068,0.051727076,0.039379484,0.012811845,0.042799055,0.045899251,0.027007559,-0.000435025,0.005972744,0.068978479,0.143611663,0.062288043,0.035315601
4,0.156686792,0.155403245,0.035152265,0.056284369,0.144772527,0.162043018,0.176036648,0.041030468,0.037255307,0.032939893,0.176058945,0.020951834,0.16792135,0.176044457,0.185469718,0.19071105,0.013710092,0.020568209,0.054457905,0.031906398,0.035534353,0.00853542,0.037173237,0.037545536,0.022906567,0.020745585,0.02534046,0.016515948,0.056362345,0.034123742,0.042326559,0.164788505,0.147086758,0.263957665,0.019963447,0.154285402,0.042993681,0.040282905,0.024768145,0.052798632,0.039438882,0.031195279,0.013110361,0.006775262,0.061529979,0.158088997,0.057795043,0.037345219
5,0.168668458,0.160395578,0.026489092,0.040911807,0.135786527,0.161044685,0.190014982,0.036115504,0.034099076,0.021868919,0.183547278,0.010028563,0.173912017,0.182534457,0.193457052,0.198698717,0.014901938,0.019590887,0.0638214,0.026370825,0.026681662,0.015372045,0.032010889,0.027319466,0.014712145,0.00995243,0.012555569,0.012647991,0.044367695,0.02959567,0.036326465,0.159297172,0.143093092,0.263458332,0.018028724,0.154784735,0.026771952,0.027207992,0.025242445,0.038336542,0.024491513,0.021404665,0.01417508,0.005081446,0.044097146,0.16507833,0.05479971,0.034382503
6,0.178153792,0.174373912,0.020821585,0.030531245,0.132791193,0.169531685,0.199000982,0.030701205,0.030443513,0.021281611,0.194030945,0.005095959,0.181400683,0.186029123,0.200945385,0.20868305,0.018589451,0.023106564,0.057209562,0.024329918,0.024818305,0.02670167,0.031840541,0.021087063,0.012009055,0.007645942,0.007259011,0.011276035,0.037864379,0.026565597,0.034320371,0.159796505,0.148584425,0.270447332,0.012599334,0.156282402,0.024029223,0.022120747,0.030210078,0.030364119,0.013039144,0.015108718,0.016238465,0.002389298,0.028660979,0.17406433,0.051305377,0.026427787
7,0.168169458,0.168383245,0.002673078,0.005174017,0.119811193,0.165538018,0.198002315,0.01480324,0.014307616,0.005218303,0.199023278,-0.009321978,0.180901683,0.182035123,0.200945385,0.20618705,0.013291298,0.016637575,0.035620723,0.012304678,0.008976614,0.016564628,0.019189859,0.004371327,0.0008193,-0.00514388,-0.002031213,0.000918078,0.015885396,0.011054859,0.01933461,0.149811838,0.145589092,0.267950998,-0.000817723,0.149293068,0.007807494,0.007548168,0.021199378,0.008912696,-0.006400892,0.000825104,0.010813517,-0.009788518,0.003739813,0.175561997,0.04980771,0.013480738
8,0.170166125,0.176869912,-0.009484429,-0.010198878,0.11881286,0.171029352,0.203992982,0.004396609,0.004162052,-0.001360004,0.210505278,-0.013755249,0.18888935,0.181036457,0.206437052,0.20868305,0.007992811,0.011666252,0.027011551,0.005770771,0.00112259,0.01191892,0.013028845,-0.00535541,-0.002882456,-0.008947701,-0.005331104,-0.000952879,-0.000103254,0.000536453,0.012336516,0.151309505,0.154076092,0.275439332,-0.007744779,0.149792402,-0.002922901,0.000464255,0.016681344,0.000940273,-0.015856594,-0.004472509,0.008883236,-0.021466667,-0.010698021,0.175561997,0.04531471,0.002530689
9,0.174159792,0.182860578,-0.016649936,-0.026070773,0.118313527,0.177519352,0.211481315,-0.003513689,-0.003487178,-0.007938312,0.222486612,-0.01818852,0.19837435,0.18203479,0.211429385,0.213176383,0.001696324,0.004198929,0.013909713,0.000235197,-0.006731434,0.005775544,0.001376496,-0.016579813,-0.006583879,-0.013250523,-0.012125328,-0.002823835,-0.01159857,-0.003492286,0.003341422,0.144320505,0.157570758,0.281929332,-0.011676169,0.153287068,-0.01465163,-0.008117657,0.010166644,-0.012024151,-0.02780863,-0.010269456,0.006453622,-0.029650482,-0.028630187,0.17406433,0.042319377,-0.006422693
10,0.189136458,0.196339912,-0.013331443,-0.030460335,0.12979586,0.194493018,0.226957315,-0.005433321,-0.002649742,-0.008525619,0.237962612,-0.009642124,0.213351017,0.188025457,0.222412052,0.228652383,0.00089117,0.002722273,0.015285208,0.001189624,-0.006598124,0.011114502,-0.000291518,-0.019317549,-0.003795634,-0.009067011,-0.014925886,-0.002198792,-0.01710322,-0.005025024,0.001834661,0.148813505,0.167056092,0.292413332,-0.011114559,0.159777068,-0.018392692,-0.008711903,0.009143277,-0.01949724,-0.032271999,-0.007080403,0.009016007,0.068500702,-0.039074021,0.179555997,0.040322377,-0.008386742
