Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
11,8.64314E-05,0.002664211,0.01599604,0.015213388,-0.021296645,-0.014525704,0.009663106,-0.004978612,-0.022333939,-0.007404436,0.289550472,0.002278337,-0.018252717,-0.013926796,-0.028344796,-0.025631099,0.000321253,-0.037607382,0.00194312,-0.017163117,0.001762704,-0.004800535,0.01380344,-0.001827855,-0.046379167,0.006127262,0.007732191,0.008332235,0.008215592,0.015171035,0.00680195,0.17804356,0.162560132,0.218031218,0.011661335,0.01143662,0.034606731,-0.013894611,-0.008169712,0.009392841,0.242793832,0.202547218,-0.007293098,-0.001279315,0.256198192,0.007842347,0.00432515,-0.082698525
12,-0.005502791,-0.001317148,0.010604734,0.010150594,-0.029943131,-0.016713752,0.003783887,-0.001896415,-0.026038674,-0.012602267,0.297573138,0.00585169,-0.022506563,-0.018697991,-0.027610389,-0.032012036,-0.00493299,-0.044363074,-0.000873589,-0.027733897,-0.00061017,-0.012092867,0.005833063,-0.00562227,-0.047859184,-0.001516559,0.00320823,0.004848249,0.003004144,0.00460817,-0.003792245,0.18055056,0.168577132,0.220538218,0.006044804,0.00438744,0.031188828,-0.023032801,-0.006947832,-0.000723529,0.246303498,0.206558552,-0.009343667,-0.005022538,0.258705525,0.001685816,-0.001151975,-0.083903271
13,-0.010590679,-0.007304174,0.002205096,0.003583467,-0.035580952,-0.022411466,-0.004602332,0.001185783,-0.028740408,-0.020306765,0.305094472,0.000901044,-0.030270409,-0.024471853,-0.031388649,-0.040899972,-0.009685899,-0.051620099,-0.009205632,-0.039307677,-0.009000044,-0.020387865,-0.003641648,-0.012425352,-0.051345201,-0.00916038,-0.001817397,-0.000641737,-0.00521597,-0.006456362,-0.015890441,0.181052227,0.177602465,0.221039552,-0.003081727,-0.00416574,0.027269591,-0.028159657,-0.006227286,-0.009837232,0.248810498,0.212575552,-0.012898235,-0.014782427,0.263218192,-0.003468048,-0.0086351,-0.082099351
14,-0.020191235,-0.018305534,-0.009704542,-0.00799766,-0.046233105,-0.035129181,-0.013991551,-0.000746019,-0.041470477,-0.033025596,0.304593138,-0.010066603,-0.039036921,-0.032251382,-0.035668241,-0.048785242,-0.017948809,-0.056370458,-0.022050675,-0.052887124,-0.023406585,-0.031189863,-0.013618025,-0.0237411,-0.051321218,-0.017806868,-0.012859692,-0.013653057,-0.020455751,-0.018523561,-0.028991303,0.183559227,0.184622132,0.221039552,-0.014715259,-0.01472492,0.014826022,-0.038802179,-0.00901674,-0.019953602,0.253824498,0.213578552,-0.017456137,-0.023539651,0.260209858,-0.010125912,-0.018123892,-0.080796764
15,-0.013746457,-0.017272893,-0.007574847,-0.009550787,-0.044851259,-0.038821228,-0.011848437,0.006848845,-0.038155211,-0.03521476,0.315624138,-0.014014582,-0.036772767,-0.028498577,-0.031424168,-0.045639179,-0.013676051,-0.051593816,-0.024867385,-0.052928571,-0.028787792,-0.031963528,-0.011560402,-0.028037182,-0.045280568,-0.017428023,-0.011366986,-0.018641709,-0.024163198,-0.020061426,-0.031562498,0.19509156,0.202171465,0.231569218,-0.016320457,-0.015255766,0.010405118,-0.040419035,-0.002780861,-0.017033305,0.269368165,0.225111218,-0.014994038,-0.027783874,0.264220858,-0.00826011,-0.023099684,-0.07147151
16,0.004230655,-0.003203586,-0.001433819,-0.00358258,-0.034444412,-0.031482609,-0.005192656,0.010432376,-0.03032728,-0.027375591,0.332170472,-0.009438562,-0.031499946,-0.025748439,-0.016650427,-0.039484448,-0.011409294,-0.036287508,-0.023171427,-0.049460018,-0.020630667,-0.028224527,-0.012511113,-0.02130193,-0.029211252,-0.015043511,-0.004859947,-0.011596362,-0.017842313,-0.020595958,-0.034134027,0.208128227,0.228746465,0.251625552,-0.012410321,-0.014783613,0.012502548,-0.033511891,0.007466352,-0.015115674,0.283407498,0.239651885,-0.00751794,-0.02350443,0.271240858,-0.000376974,-0.021557142,-0.060641923
17,0.019700766,0.007857388,0.003202876,0.000881293,-0.026544232,-0.02564799,-4.08752E-05,0.014517574,-0.021998014,-0.024049089,0.347212805,-0.004862542,-0.026227125,-0.024000967,-0.00588802,-0.032327052,-0.00713687,-0.024992534,-0.01445547,-0.043484131,-0.015983541,-0.023984192,-0.01446449,-0.019079345,-0.015147936,-0.010151999,-0.000859908,-0.006556348,-0.012524427,-0.018623823,-0.032192889,0.219660893,0.252814132,0.272183552,-0.005992853,-0.013809793,0.012594645,-0.026605081,0.015206565,-0.009688378,0.294438498,0.255696885,-0.002047175,-0.020227653,0.277257858,-1.51717E-05,-0.020515934,-0.050815336
18,0.032162211,0.013402695,-0.003692763,0.002336833,-0.020650053,-0.020314704,-0.001407428,0.008574438,-0.020688416,-0.02473392,0.358243805,-0.003294855,-0.029979638,-0.028771829,0.000863387,-0.030183988,-0.011889779,-0.019213226,-0.01025218,-0.044528245,-0.017353415,-0.028267857,-0.022936534,-0.017358427,-0.006599953,-0.013784487,-0.004882202,-0.008035001,-0.012721874,-0.026679689,-0.037271418,0.22166656,0.271366132,0.286724552,-0.004589717,-0.021360306,0.008675409,-0.021703937,0.015425777,-0.011782081,0.298951498,0.269234885,-0.00108941,-0.018956876,0.279263525,-0.002160369,-0.022984726,-0.045000082
19,0.036601322,0.007917002,-0.011089734,-0.003728961,-0.023279539,-0.024508085,-0.00628398,0.002631303,-0.021384484,-0.030433085,0.365263805,-0.008245502,-0.02871815,-0.028529025,-0.001410873,-0.029545258,-0.014135355,-0.017946584,-0.010060223,-0.046073692,-0.025742956,-0.034055855,-0.029904245,-0.025665842,-0.00507197,-0.012904309,-0.014420163,-0.015028988,-0.020941989,-0.032228887,-0.038839947,0.23019056,0.281895798,0.298257218,-0.007197915,-0.024398152,0.000744839,-0.024323793,0.00962799,-0.01337445,0.305971498,0.276756218,-0.003641312,-0.022700099,0.278260525,-0.012328233,-0.026957518,-0.042193495
20,0.049564433,0.004436976,-0.016982373,-0.007788754,-0.019391026,-0.023186133,-0.011160532,-0.005818833,-0.022080552,-0.032120916,0.379303472,-0.008683482,-0.02795833,-0.026280553,-0.001177799,-0.028404861,-0.014375265,-0.012668276,-0.012876932,-0.042605139,-0.027614497,-0.039843854,-0.036370622,-0.02946059,-0.00404532,-0.01453113,-0.019947123,-0.01650764,-0.027156436,-0.038780419,-0.043417143,0.239215893,0.293929798,0.310792552,-0.011310447,-0.027435999,-0.004678731,-0.022932316,0.004331536,-0.016972487,0.314495498,0.287787552,-0.004187547,-0.026944656,0.276756192,-0.015977764,-0.03093031,-0.037882241
21,0.065034544,0.003965284,-0.014852345,-0.004829215,-0.013997846,-0.02286718,-0.009518751,-0.006747968,-0.015756954,-0.028794413,0.395348472,-0.007617462,-0.022184175,-0.019017748,0.001060941,-0.022751797,-0.009099841,-0.005384635,-0.011682309,-0.035626586,-0.025474371,-0.036104852,-0.035315666,-0.033255005,-0.000511337,-0.011645285,-0.024471084,-0.011969293,-0.03286955,-0.034300951,-0.040473005,0.25676556,0.306465132,0.330848885,-0.012915978,-0.024456845,-0.009099301,-0.019535172,0.000539082,-0.01756219,0.328534832,0.296311552,-0.001223782,-0.031690546,0.284778858,-0.016618628,-0.029387768,-0.029559654
22,0.089028656,0.002992257,-0.010215316,-0.002872342,-0.004593667,-0.016029894,-0.00536997,-0.007676771,-0.013946022,-0.026470578,0.410390805,-0.004044108,-0.021424021,-0.01526461,0.005806682,-0.013087401,-0.003323083,0.001899007,-0.006977685,-0.024135366,-0.022331578,-0.032365851,-0.033258043,-0.032536753,0.002521312,-0.010263773,-0.025986378,-0.006929613,-0.031061331,-0.03182715,-0.036024867,0.26779656,0.320504465,0.348398218,-0.011011509,-0.022480692,-0.010009871,-0.015636694,-0.000244705,-0.01915456,0.346084165,0.311353885,0.003243983,-0.029918102,0.292300192,-0.010741493,-0.02433556,-0.0202344
23,0.106002767,0.001016231,-0.004575621,-0.001918468,-0.000203487,-0.011198275,-0.002725523,-0.005095906,-0.010129423,-0.020637075,0.422925805,-0.002476421,-0.0201622,-0.011511472,0.007543756,-0.006933004,-0.001557659,0.007678315,-0.005783061,-0.015151146,-0.020191453,-0.026621182,-0.02869342,-0.029311502,0.004049629,-0.011890594,-0.028003006,-0.007906932,-0.029253112,-0.033866349,-0.028568062,0.27632056,0.334544132,0.363440552,-0.008605707,-0.022008538,-0.012926108,-0.012740884,-0.002031159,-0.022251263,0.364134832,0.322886218,0.005706081,-0.028646992,0.305336858,-0.006368357,-0.018782018,-0.009405146
24,0.129996878,-0.000959462,0.001064073,-0.002468595,0.00869936,-0.001352323,-8.07419E-05,-0.006024709,-0.008819825,-0.013800906,0.437466805,0.001598266,-0.01639338,-0.007257334,0.008779496,0.001728727,0.004219098,0.018471956,-0.004087104,-0.00516426,-0.01454166,-0.021377847,-0.024128464,-0.02006925,0.008586278,-0.008503416,-0.0265103,-0.008382585,-0.022430893,-0.03490288,-0.020108591,0.28735156,0.352093465,0.378482885,-0.003191239,-0.019029385,-0.009324344,-0.008341073,0.00019372,-0.023843633,0.382687165,0.342942552,0.008669513,-0.020857548,0.315866525,-0.002998221,-0.011724143,0.005936774
