Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14
23,0.153830437,0.246018077,0.134790227,0.11899776,-0.036333376,0.216424843,0.208749417,0.16016958,0.195487267,-0.02293615,0.23255867,0.191001393,0.131759233,0.038867122
24,0.16472477,0.25839841,0.142218227,0.132368427,-0.023484819,0.225833843,0.220139083,0.168092913,0.2063816,-0.004464588,0.243453337,0.198429393,0.134730567,0.075355783
25,0.175124103,0.267312077,0.147170227,0.143263093,-0.014597928,0.233261843,0.232024083,0.17453058,0.214800267,0.00855964,0.24691967,0.20734306,0.141168233,0.123729443
26,0.187009103,0.273254743,0.15063656,0.157624093,-0.002244705,0.240690177,0.242423417,0.178492247,0.2276756,0.023564869,0.252367003,0.212790393,0.1451299,0.201320438
27,0.199884437,0.28216841,0.16004556,0.16653776,0.010108519,0.25108951,0.254308417,0.185920247,0.2395606,0.041046097,0.256824003,0.22120906,0.151567567,0.328927099
28,0.222664103,0.301976743,0.173911227,0.186346093,0.032366076,0.268421843,0.270650083,0.20127158,0.257883267,0.065460325,0.271185003,0.237550727,0.162462233,0.554584426
29,0.237520437,0.31386141,0.18431056,0.190803093,0.048185966,0.281297177,0.285506083,0.218603913,0.2653116,0.081950887,0.27564167,0.24844506,0.172861567,0.953068754
30,0.251881437,0.32574641,0.190252893,0.20664976,0.06747219,0.29219151,0.29689575,0.23395558,0.2722446,0.099432115,0.284555337,0.256368393,0.1832609,1.663037748
31,0.258814103,0.32624141,0.192729227,0.21160176,0.091710413,0.29664851,0.300857417,0.239897913,0.276206267,0.119884344,0.289012003,0.256368393,0.186232233,2.850880743
32,0.275651103,0.33565041,0.19817656,0.23091476,0.13823297,0.307047843,0.309771417,0.24633558,0.288091267,0.151726572,0.301392337,0.263301393,0.191679567,4.66515907
33,0.289517103,0.344564077,0.20510956,0.242304427,0.210506527,0.319428177,0.319675417,0.256734913,0.301461933,0.197929801,0.30931567,0.273700727,0.199107567,7.137071398
34,0.30041177,0.35248741,0.21055656,0.258151093,0.336262084,0.329332177,0.331560417,0.268619913,0.312356267,0.271369362,0.315258337,0.281128727,0.2095069,10.16163373
35,0.303878103,0.356449077,0.210061227,0.26260776,0.559573308,0.332303177,0.33056975,0.27505758,0.3138416,0.400271924,0.313277337,0.28211906,0.212973233,13.54720139
36,0.322200437,0.370314743,0.221450893,0.28142576,0.984433198,0.34319751,0.342950083,0.29238958,0.325231267,0.655451819,0.322191003,0.291032727,0.225353567,17.15511671
37,0.340523103,0.385171077,0.233335893,0.29578676,1.714340421,0.354092177,0.352854083,0.309721913,0.336125933,1.109704714,0.329619003,0.304898727,0.2362479,20.82196171
38,0.350922437,0.38814241,0.240268893,0.30767176,2.872105312,0.35706351,0.360777417,0.323092247,0.343554267,1.881384943,0.334076003,0.311336393,0.2456569,24.4288867
39,0.349932103,0.382200077,0.240764227,0.311138093,4.553303202,0.352606843,0.35731075,0.329034913,0.341573267,3.116578171,0.329619003,0.31034606,0.2481329,27.91349536
40,0.34448477,0.37229591,0.23655506,0.31064276,5.482778092,0.34493101,0.35013025,0.32829208,0.3363736,3.810511066,0.32392417,0.30217506,0.2454094,29.62774219
