wellLocation,Cycle_Number1,Cycle_Number2,Cycle_Number3,Cycle_Number4,Cycle_Number5,Cycle_Number6,Cycle_Number7,Cycle_Number8,Cycle_Number9,Cycle_Number10,Cycle_Number11,Cycle_Number12,Cycle_Number13,Cycle_Number14,Cycle_Number15,Cycle_Number16,Cycle_Number17,Cycle_Number18,Cycle_Number19,Cycle_Number20,Cycle_Number21,Cycle_Number22,Cycle_Number23,Cycle_Number24,Cycle_Number25,Cycle_Number26,Cycle_Number27,Cycle_Number28,Cycle_Number29,Cycle_Number30,Cycle_Number31,Cycle_Number32,Cycle_Number33,Cycle_Number34,Cycle_Number35
L12,-33.56787966,-21.61146151,-10.02890281,-2.065561188,5.272226695,7.467977087,11.80369768,10.83659017,13.44855301,6.340884618,8.372163018,3.946969479,-2.672068006,-0.515310844,-2.370948676,-3.103917705,-1.772040253,5.44984031,24.29794832,57.77710865,117.385292,230.2287868,422.6709142,708.2963622,1146.038005,1597.326574,2016.007267,2317.476775,2474.774367,2522.252524,2513.431732,2488.790676,2466.571359,2447.583127,2433.48416
L13,-25.31434796,-17.31810389,-5.322421409,-0.525860709,5.3904893,11.39252474,9.498252633,8.255469612,7.854964567,3.835685467,2.275416941,1.327941218,-0.079793252,2.622758136,0.538095248,10.57056431,23.99495323,57.04777108,117.8221753,235.1868524,426.3860432,762.4980546,1247.531625,1737.327653,2191.550397,2551.851796,2799.98252,2956.564071,3051.047706,3105.572188,3132.992046,3146.492475,3150.218143,3146.962242,3139.641551
L14,-22.91974384,-8.17043004,-6.92160512,-0.545888253,5.257555605,9.206836758,8.195976908,10.5700744,8.668540987,7.371986901,0.490096922,3.950509482,-1.05421333,2.097431855,0.813278961,1.22085846,7.92265921,27.92920425,55.2937809,118.8340072,224.1509948,419.1840412,733.7728038,1200.068906,1691.376678,2161.707637,2530.719198,2768.431706,2899.605474,2965.009229,2994.470646,3004.907014,3003.203205,2993.780485,2980.949732
L15,12.10287524,2.748101008,-0.593468543,0.622814257,1.513256809,6.476082906,6.09019361,7.251477964,7.335832283,3.131097399,2.696820786,-1.521735277,-0.503918658,3.605706331,4.082335167,4.066483576,11.32673172,30.42851668,56.06938371,124.5981794,227.2265031,420.8163488,736.706,1190.645598,1665.43922,2116.048678,2466.604857,2689.60834,2812.133607,2871.16627,2899.041689,2909.726509,2910.113282,2903.121188,2892.747289
L16,15.47256504,17.85973712,20.98397686,27.97863581,30.16559434,44.46108993,44.64285071,45.99759327,58.67121562,55.31734184,62.96337499,63.89226695,68.99353202,74.86874897,76.30517084,78.50040156,82.27848275,84.31504843,82.79376285,89.48551285,89.9720705,93.745412,94.68199641,95.2319861,101.3789152,99.35251647,102.8259825,104.5495407,107.913424,109.2690128,107.4389349,111.5783702,112.6350849,115.0336067,118.3308426
L17,19.19934747,23.8046585,25.52988868,34.03985157,39.2665022,48.99436979,51.6886759,53.39707149,62.05826141,59.72386883,66.74149113,69.93226818,73.35512752,77.47595679,75.6867975,81.80664161,86.02182652,89.17395589,88.29348117,90.64352316,94.14383921,98.40626102,99.44030925,98.84422799,100.1326311,101.9224001,106.9075939,109.6881369,111.1826883,111.3303982,111.009494,116.7352468,119.9342408,117.5784953,123.5914388
L18,-17.70916034,-10.10301157,-10.23665476,-3.742574098,-3.925404113,-3.30887995,-1.638293098,-1.09940803,2.132504185,4.316771931,3.750590529,5.905907557,5.949422581,5.809491677,6.793397628,6.420812531,9.278081159,5.609441912,5.163938087,7.395753701,6.219180005,7.11422116,10.26351189,6.480359955,4.970339868,2.331979312,1.85003327,4.794419883,0.979846757,-2.38412334,-0.628726876,-2.054905723,-4.388517612,-6.485169264,-5.756743125
L19,-17.00499502,-12.65698894,-9.533900041,-6.128537484,-3.961968298,-4.240742495,-6.756301431,-1.055628566,-2.07378717,1.322274128,3.446096008,4.778502812,3.525783922,5.10570228,5.911395545,3.925743896,6.086139813,2.599128953,6.092305624,2.338678997,3.480818161,6.324130254,2.74832568,3.736772134,1.800319509,5.562849051,2.016797984,0.092031822,2.680139926,-0.701421137,-0.675884147,0.045698884,-1.352996889,-0.881107688,-1.310433472
L20,12.03086138,18.69654023,22.9286518,30.57153573,35.65157968,39.99519313,46.86807584,52.79222187,57.7905608,58.20800496,69.45313818,73.83071306,78.64704189,79.54547314,84.99472232,92.0720387,93.78880578,96.20592816,100.4146251,105.0548094,109.0010195,111.0166628,114.4290508,119.4562032,122.0811521,123.8095887,130.1159324,133.9747048,138.4600164,143.5175782,144.7899545,146.1872503,146.0870504,151.2339339,153.3039268
L21,-6.571494792,-8.007484752,-2.462712677,-8.075442847,-2.306713219,3.245964717,-0.968749089,0.592523269,1.969779992,1.194099689,3.597708583,3.782255799,1.431675803,3.019757641,5.145693735,5.044049096,8.436539955,5.465692493,4.195585966,7.993183457,2.942961868,6.634326547,4.477088364,2.804949679,0.614343318,2.783803787,4.274830263,1.838095818,0.752809199,3.409534748,0.787142021,-0.450329559,-1.756182403,-1.400277186,-8.184818168
L23,-10.69118304,-9.088670401,-1.833433121,-1.294294346,4.527670479,1.706233494,4.082981986,5.022970313,6.153229964,1.665265154,1.822997491,2.952400548,-2.675547973,0.110269312,-1.797186452,5.528234909,3.845167377,18.12690081,33.54776855,78.4743138,149.7311553,287.0037198,523.680929,886.5455731,1415.976463,1941.027187,2414.21869,2768.729537,3002.592712,3147.322992,3238.742464,3301.681758,3345.928543,3374.798297,3393.042831
L24,-46.99635062,-26.92878851,-8.970627777,-3.485459759,6.689709805,8.594338819,13.46389839,13.86155983,12.86193968,8.923136984,7.695419801,5.695028731,-0.481469491,0.825049944,-3.586381283,-2.150402121,-0.907633561,2.911905821,16.33798023,58.3415286,123.3962927,256.1188969,486.1896441,850.6663335,1411.364116,1984.409686,2521.005923,2942.687891,3227.992727,3412.779097,3525.905785,3603.834548,3655.957942,3690.56715,3713.87064
M1,-69.31930564,-36.14322297,-16.89380574,-1.542570146,4.733314859,13.11176925,16.8407223,20.02337778,24.06840275,17.16112897,16.33382421,12.26101663,7.085759547,1.869182151,-1.95331588,-8.174426644,-13.79177242,-8.587686548,3.63327699,29.39824259,78.8627228,181.1610582,356.158421,628.0066084,1077.254406,1569.335291,2065.860864,2463.113091,2710.557448,2824.250351,2856.085515,2848.492738,2826.584659,2798.273354,2769.945256
